time,x_diff,y_diff,z_diff,vx_diff,vy_diff,vz_diff
2451544.5,1.99840144432528e-15,2.22044604925031e-16,-2.77555756156289e-16,0,-9.8879238130678e-17,0
2451545.5,2.19990461403086e-08,1.2016179051777e-08,3.51982276658447e-09,4.39326522999259e-08,2.4079437501226e-08,7.03376269988593e-09
2451546.5,8.7734363996006e-08,4.82612644292502e-08,1.40566329132064e-08,8.74739194997413e-08,4.84574197000959e-08,1.40341461000136e-08
2451547.5,1.9681869800614e-07,1.09032501027784e-07,3.15775470771662e-08,1.30632065000261e-07,7.31314154008705e-08,2.1002146499997e-08
2451548.5,3.48872973177095e-07,1.94624814153777e-07,5.60506994151666e-08,1.73415132600184e-07,9.80993143002984e-08,2.793880619998e-08
2451549.5,5.43526057938948e-07,3.05331220196159e-07,8.74452895649469e-08,2.15830950600453e-07,1.23359409600482e-07,3.48452140000195e-08
2451550.5,7.80414515011429e-07,4.41443226528726e-07,1.25731629996295e-07,2.57887136399966e-07,1.4891038200085e-07,4.17225057000115e-08
2451551.5,1.05918243398229e-06,6.03251204212008e-07,1.7088119091957e-07,2.99591102100039e-07,1.74751281899893e-07,4.85718632999834e-08
2451552.5,1.37948122702625e-06,7.91044756254244e-07,2.22866649801645e-07,3.40950060100619e-07,2.00881512599574e-07,5.53945146000235e-08
2451553.5,1.74096940508406e-06,1.00511305678452e-06,2.81661932277633e-07,3.81971029700043e-07,2.27300813801165e-07,6.21917315000347e-08
2451554.5,2.14331241887855e-06,1.24574517945675e-06,3.47242257281444e-07,4.22660842400689e-07,2.54009244100156e-07,6.8964828099996e-08
2451555.5,2.58618243886843e-06,1.51323040997742e-06,4.19584178790178e-07,4.63026148299697e-07,2.81007164400562e-07,7.57151579999739e-08
2451556.5,3.06925822490811e-06,1.80785853998167e-06,4.98665621406769e-07,5.03073421699932e-07,3.08295221799343e-07,8.24441108001001e-08
2451557.5,3.5922248928788e-06,2.12992014314572e-06,5.84465917885524e-07,5.42808966099914e-07,3.35874333500311e-07,8.9153107400014e-08
2451558.5,4.15477381010554e-06,2.47970684175147e-06,6.76965831225562e-07,5.82238917799446e-07,3.63745671598872e-07,9.58435954000018e-08
2451559.5,4.75660237619913e-06,2.85751154727176e-06,7.76147587810971e-07,6.21369249400282e-07,3.91910648600557e-07,1.02517043500008e-07
2451560.5,5.39741389116166e-06,3.26362870173291e-06,8.81994888513038e-07,6.60205771000483e-07,4.20370904001197e-07,1.09174934299992e-07
2451561.5,6.0769173899633e-06,3.69835449443023e-06,9.94492919126344e-07,6.98754129799771e-07,4.49128292700704e-07,1.15818758599949e-07
2451562.5,6.79482745291615e-06,4.16198707098303e-06,1.11362835980566e-06,7.37019807700405e-07,4.78184873699619e-07,1.22450007100021e-07
2451563.5,7.55086407688843e-06,4.65482673683848e-06,1.2393893787932e-06,7.75008116699755e-07,5.07542902200911e-07,1.2907016280002e-07
2451564.5,8.34475246702659e-06,5.17717614623159e-06,1.37176561637586e-06,8.12724190699804e-07,5.37204822299853e-07,1.35680694199965e-07
2451565.5,9.17622288798547e-06,5.729340490368e-06,1.51074817628105e-06,8.50172975300038e-07,5.67173262300269e-07,1.42283047099986e-07
2451566.5,1.00450104350003e-05,6.31162767850135e-06,1.65632958826212e-06,8.87359212400039e-07,5.97451031500093e-07,1.48878637399978e-07
2451567.5,1.09508548349346e-05,6.92434852156421e-06,1.80850378411757e-06,9.24287421999632e-07,6.28041120298919e-07,1.55468845000042e-07
2451568.5,1.18935002300091e-05,7.56781690847141e-06,1.96726605439235e-06,9.6096187830047e-07,6.58946700199739e-07,1.62055007599986e-07
2451569.5,1.28726948820379e-05,8.24234999519113e-06,2.13261300241463e-06,9.97386580500227e-07,6.90171126799602e-07,1.68638416300011e-07
2451570.5,1.3888190905087e-05,8.94826838260254e-06,2.30454249972034e-06,1.03356521820048e-06,7.21717941199948e-07,1.7522031179999e-07
2451571.5,1.49397439439536e-05,9.68589630867545e-06,2.48305363187429e-06,1.06950112889991e-06,7.5359087300074e-07,1.8180188199996e-07
2451572.5,1.60271127809253e-05,1.04555618325453e-05,2.66814664390269e-06,1.10519725050016e-06,7.85793838100832e-07,1.88384261000005e-07
2451573.5,1.71500588910245e-05,1.1257597023584e-05,2.85982289177644e-06,1.14065606280061e-06,8.18330934699435e-07,1.94968529900017e-07
2451574.5,1.83083459970312e-05,1.20923381338178e-05,3.05808478190395e-06,1.17587952369949e-06,8.51206429799967e-07,2.01555717500005e-07
2451575.5,1.9501739492167e-05,1.2960125755912e-05,3.26293572705527e-06,1.21086899860026e-06,8.84424736400172e-07,2.0814680319999e-07
2451576.5,2.07300057870619e-05,1.38613049579517e-05,3.47438009662415e-06,1.2456251830004e-06,9.17990375000344e-07,2.14742719100016e-07
2451577.5,2.19929116238582e-05,1.47962253529421e-05,3.69242316700102e-06,1.28014802209999e-06,9.51907916399083e-07,2.21344353399999e-07
2451578.5,2.32902233079368e-05,1.57652411230114e-05,3.91707108449157e-06,1.31443663350071e-06,9.86181904099118e-07,2.2795255112585e-07
2451579.5,2.46217057832121e-05,1.67687109391412e-05,4.14833081430199e-06,1.34848923669974e-06,1.02081674210018e-06,2.34568113446584e-07
2451580.5,2.59871217600516e-05,1.780699774101e-05,4.38621010462326e-06,1.38230310000112e-06,1.05581656320054e-06,2.41191794725297e-07
2451581.5,2.73862307264006e-05,1.88804684040367e-05,4.63071742851096e-06,1.41587451559996e-06,1.09118506110006e-06,2.478242942387e-07
2451582.5,2.88187879782242e-05,1.9989493207806e-05,4.88186192576512e-06,1.44919881439956e-06,1.1269252998998e-06,2.54466243306143e-07
2451583.5,3.02845436874755e-05,2.11344450651296e-05,5.13965332693544e-06,1.482270434899e-06,1.16303950899871e-06,2.61118186740413e-07
2451584.5,3.17832420713149e-05,2.23156986549622e-05,5.40410185367879e-06,1.51508305580063e-06,1.19952887590001e-06,2.67780558809763e-07
2451585.5,3.33146207267543e-05,2.35336292120358e-05,5.67521809530236e-06,1.54762979780003e-06,1.23639336259938e-06,2.74453654766548e-07
2451586.5,3.48784102025546e-05,2.47886112831885e-05,5.95301285422067e-06,1.57990349440064e-06,1.27363156650004e-06,2.81137600099995e-07
2451587.5,3.64743338719942e-05,2.60810172858505e-05,6.23749695932707e-06,1.61189701839912e-06,1.31124065519926e-06,2.87832320800002e-07
2451588.5,3.81021081491406e-05,2.74112161000595e-05,6.52868105815996e-06,1.6436036390996e-06,1.34921639709934e-06,2.94537518599991e-07
2451589.5,3.976144306439e-05,2.87795717319739e-05,6.8265753774277e-06,1.67501737980032e-06,1.38755329890002e-06,3.01252654300011e-07
2451590.5,4.1452043184953e-05,3.01864421570208e-05,7.13118948358904e-06,1.70613333189996e-06,1.42624485189972e-06,3.07976945099995e-07
2451591.5,4.31736088021273e-05,3.16321784759044e-05,7.44253204321144e-06,1.73694789249931e-06,1.46528386689958e-06,3.14709374900005e-07
2451592.5,4.49258373206307e-05,3.31171244118966e-05,7.76061059826194e-06,1.76745889149919e-06,1.50466286700027e-06,3.21448719799991e-07
2451593.5,4.67084246941196e-05,3.46416162559926e-05,8.08543138053341e-06,1.79766559799989e-06,1.54437449569923e-06,3.2819358530004e-07
2451594.5,4.85210668258462e-05,3.62059831371386e-05,8.41699915832272e-06,1.82756860749901e-06,1.5844118974994e-06,3.34942452399976e-07
2451595.5,5.03634607927905e-05,3.78105477418789e-05,8.75531714078503e-06,1.85716963040095e-06,1.62476903240068e-06,3.41693727500035e-07
2451596.5,5.22353058226566e-05,3.94556272180768e-05,9.10038692542026e-06,1.88647121279924e-06,1.6654409007999e-06,3.48445789399973e-07
2451597.5,5.41363039812115e-05,4.1141534268041e-05,9.45220849357664e-06,1.91547642719968e-06,1.70642366710029e-06,3.55197032299987e-07
2451598.5,5.60661605406576e-05,4.28685783648852e-05,9.81078024375748e-06,1.94418856640059e-06,1.74771468799961e-06,3.61945899699976e-07
2451599.5,5.80245840599014e-05,4.46370669429097e-05,1.01760990499633e-05,1.97261086730058e-06,1.78931245949955e-06,3.6869090810004e-07
2451600.5,6.00112862079172e-05,4.64473064130111e-05,1.05481603501212e-05,2.00074628400014e-06,1.83121650440023e-06,3.75430662099998e-07
2451601.5,6.20259813938207e-05,4.82996031880845e-05,1.09269582289073e-05,2.02859731589927e-06,1.87342722189968e-06,3.8216386079998e-07
2451602.5,6.40683862496161e-05,5.01942644479669e-05,1.13124855211644e-05,2.05616589279978e-06,1.91594572120091e-06,3.8888929650003e-07
2451603.5,6.61382190221271e-05,5.21315987660476e-05,1.17047338973331e-05,2.08345331050019e-06,1.95877365439905e-06,3.95605849900019e-07
2451604.5,6.82351989256258e-05,5.41119165591297e-05,1.21036939489949e-05,2.11046020700059e-06,2.00191306050021e-06,4.02312481600098e-07
2451605.5,7.0359045487578e-05,5.61355304289357e-05,1.25093552632016e-05,2.13718657269928e-06,2.04536622809906e-06,4.09008221100059e-07
2451606.5,7.2509477913707e-05,5.82027553559517e-05,1.29217064877007e-05,2.16363178160046e-06,2.0891355792009e-06,4.15692156900075e-07
2451607.5,7.4686214493247e-05,6.03139087331783e-05,1.33407353838932e-05,2.18979463739895e-06,2.13322357510079e-06,4.22363425599975e-07
2451608.5,7.68889720583754e-05,6.24693104440688e-05,1.37664288692996e-05,2.21567342719928e-06,2.17763264389985e-06,4.29021202400003e-07
2451609.5,7.91174654933835e-05,6.46692827288575e-05,1.41987730534199e-05,2.24126597889868e-06,2.22236512490044e-06,4.35664692799952e-07
2451610.5,8.13714073032434e-05,6.69141501170589e-05,1.46377532606601e-05,2.26656971600084e-06,2.26742323010051e-06,4.42293124799952e-07
2451611.5,8.36505072354665e-05,6.92042392897996e-05,1.50833540549233e-05,2.29158171160052e-06,2.31280901710068e-06,4.48905743699992e-07
2451612.5,8.59544719585825e-05,7.15398788750932e-05,1.55355592509898e-05,2.31629873669904e-06,2.35852437310141e-06,4.55501805999973e-07
2451613.5,8.82830047783667e-05,7.39213993070642e-05,1.59943519241756e-05,2.34071730420039e-06,2.40457100600042e-06,4.62080576500018e-07
2451614.5,9.06358054011402e-05,7.63491326429833e-05,1.64597144152734e-05,2.36483370770132e-06,2.45095044150087e-06,4.68641324200014e-07
2451615.5,9.30125697291562e-05,7.88234123829668e-05,1.69316283392118e-05,2.38864405470093e-06,2.49766402420082e-06,4.7518332099998e-07
2451616.5,9.54129896963973e-05,8.13445732679163e-05,1.74100745810035e-05,2.41214429699994e-06,2.54471292250071e-06,4.81705838900007e-07
2451617.5,9.78367531152546e-05,8.39129511280845e-05,1.78950332959671e-05,2.43533025509959e-06,2.5920981337e-06,4.88208148999975e-07
2451618.5,0.000100283543567725,8.65288826989996e-05,1.83864839123915e-05,2.45819763950057e-06,2.63982049179996e-06,4.94689520899984e-07
2451619.5,0.000102753040296388,8.91927054820219e-05,1.88844051255965e-05,2.48074207000008e-06,2.68788067540014e-06,5.01149221300004e-07
2451620.5,0.000105244918123026,9.19047575871357e-05,1.93887748963784e-05,2.50295909029995e-06,2.7362792157995e-06,5.07586514500013e-07
2451621.5,0.000107758847385453,9.46653775719675e-05,1.98995704485672e-05,2.52484418190001e-06,2.78501650430047e-06,5.14000661200006e-07
2451622.5,0.000110294493872787,9.74749043218814e-05,2.04167682631984e-05,2.54639277539985e-06,2.8340928003006e-06,5.20390918400029e-07
2451623.5,0.000112851518784707,0.000100333676938069,2.09403440799838e-05,2.56760026019938e-06,2.88350823910051e-06,5.26756539800033e-07
2451624.5,0.000115429578694148,0.000103242034563023,2.14702728858762e-05,2.58846199290008e-06,2.93326283730064e-06,5.3309677499995e-07
2451625.5,0.000118028325514774,0.000106200316323024,2.2006528920121e-05,2.60897330420055e-06,2.98335650000033e-06,5.39410869800018e-07
2451626.5,0.000120647406483432,0.000109208861190035,2.25490856617105e-05,2.62912950589958e-06,3.03378902500023e-06,5.45698065199953e-07
2451627.5,0.000123286464139283,0.00011226800789399,2.30979158304945e-05,2.64892589539947e-06,3.08456010909928e-06,5.51957598399992e-07
2451628.5,0.000125945136315919,0.0001153780947869,2.36529913814898e-05,2.66835776070035e-06,3.13566935200051e-06,5.58188701600031e-07
2451629.5,0.000128623056130817,0.000118539459792899,2.42142834981085e-05,2.68742038449926e-06,3.18711625979951e-06,5.6439060189999e-07
2451630.5,0.000131319851982004,0.000121752440296996,2.47817625896041e-05,2.70610904750009e-06,3.2389002484999e-06,5.70562521199844e-07
2451631.5,0.000134035147549449,0.000125017373054925,2.53553982817178e-05,2.72441903220039e-06,3.29102064749922e-06,5.76703675800099e-07
2451632.5,0.000136768561798395,0.000128334594089008,2.59351594179003e-05,2.74234562359921e-06,3.3434767023003e-06,5.82813276299877e-07
2451633.5,0.000139519708979574,0.000131704438665947,2.65210140457939e-05,2.75988411310019e-06,3.39626757729986e-06,5.88890526800022e-07
2451634.5,0.000142288198640095,0.000135127241138955,2.7112929414097e-05,2.77702979980046e-06,3.44939235779988e-06,5.94934625199961e-07
2451635.5,0.000145073635630988,0.000138603334933096,2.7710871967318e-05,2.79377799150028e-06,3.50285005330016e-06,6.00944762999944e-07
2451636.5,0.00014787562011398,0.000142133052436932,2.83148073380035e-05,2.81012400710039e-06,3.55663959939953e-06,6.0692012450003e-07
2451637.5,0.000150693747578701,0.000145716724931022,2.89247003402993e-05,2.82606317639905e-06,3.61075986199996e-06,6.12859888299983e-07
2451638.5,0.000153527608848902,0.000149354682549063,2.95405149619843e-05,2.84159084219977e-06,3.66520963929976e-06,6.18763225900204e-07
2451639.5,0.00015637679009689,0.000153047254163985,3.0162214358892e-05,2.85670236059923e-06,3.71998766560046e-06,6.24629302300008e-07
2451640.5,0.000159240872860567,0.00015679476738284,3.07897608518015e-05,2.87139310239937e-06,3.77509261560022e-06,6.30457276599994e-07
2451641.5,0.000162119434054475,0.000160597548434893,3.14231159150025e-05,2.88565845289919e-06,3.83052310819979e-06,6.36246302100065e-07
2451642.5,0.000165012045986901,0.000164455922154083,3.20622401727977e-05,2.89949381349942e-06,3.88627771179956e-06,6.41995527199965e-07
2451643.5,0.000167918276374524,0.000168370211901969,3.27070934000029e-05,2.91289460199913e-06,3.94235494999978e-06,6.47704094800146e-07
2451644.5,0.000170837688361458,0.000172340739583055,3.33576345060982e-05,2.9258562526998e-06,3.99875330719945e-06,6.53371144499881e-07
2451645.5,0.000173769840535742,0.0001763678255291,3.40138215420838e-05,2.93837421730045e-06,4.05547123520037e-06,6.58995811900123e-07
2451646.5,0.000176714286941937,0.000180451788530878,3.46756116937907e-05,2.95044396450041e-06,4.11250716159973e-06,6.64577230299846e-07
2451647.5,0.000179670577103774,0.000184592945790873,3.53429612767187e-05,2.96206097930019e-06,4.16985949720002e-06,6.70114531300166e-07
2451648.5,0.000182638256041201,0.000188791612915074,3.60158257390053e-05,2.97322076269965e-06,4.2275266455994e-06,6.75606845900031e-07
2451649.5,0.000185616864275318,0.000193048103932947,3.66941596612047e-05,2.98391882909942e-06,4.28550701310048e-06,6.81053305799867e-07
2451650.5,0.000188605937853803,0.000197362731265915,3.73779167537891e-05,2.99415070370047e-06,4.34379901999987e-06,6.86453044299951e-07
2451651.5,0.000191605008348195,0.000201735805758885,3.80670498641988e-05,3.00391191809975e-06,4.4024011123002e-06,6.91805198199929e-07
2451652.5,0.000194613602865601,0.000206167636762844,3.87615109782025e-05,3.01319800419947e-06,4.46131177420008e-06,6.97108909700076e-07
2451653.5,0.000197631244041513,0.000210658532091124,3.94612512263914e-05,3.02200448589959e-06,4.52052954329988e-06,7.02363328199986e-07
2451654.5,0.000200657450025399,0.00021520879816106,4.01662208956988e-05,3.03032686839975e-06,4.58005302519937e-06,7.07567612399972e-07
2451655.5,0.000203691734456585,0.000219818740000877,4.08763694358105e-05,3.03816062260064e-06,4.63988090599991e-06,7.12720933100045e-07
2451656.5,0.000206733606421788,0.000224488661421995,4.15916454745979e-05,3.04550116799959e-06,4.70001197230016e-06,7.17822476799896e-07
2451657.5,0.000209782570392891,0.000229218865023029,4.23119968362973e-05,3.05234384880004e-06,4.76044512489997e-06,7.22871448400079e-07
2451658.5,0.000212838126134318,0.000234009652411826,4.30373705589959e-05,3.05868390410025e-06,4.82117938840031e-06,7.27867074699863e-07
2451659.5,0.000215899768583994,0.000238861324258099,4.37677129239977e-05,3.06451643300107e-06,4.88221393010009e-06,7.32808610199882e-07
2451660.5,0.000218966987688501,0.000243774180491929,4.45029694793042e-05,3.06983635119974e-06,4.9435480626997e-06,7.37695339999992e-07
2451661.5,0.000222039268203217,0.00024874852041501,4.52430850760854e-05,3.07463834059961e-06,5.00518124579982e-06,7.42526585400041e-07
2451662.5,0.00022511608941822,0.000253784642869848,4.59880039095917e-05,3.07891679030003e-06,5.06711308009963e-06,7.47301708299997e-07
2451663.5,0.000228196924842078,0.000258882846362996,4.67376695538202e-05,3.08266572970027e-06,5.12934328680001e-06,7.52020116300033e-07
2451664.5,0.000231281241804104,0.000264043429163863,4.74920250206068e-05,3.08587875579892e-06,5.19187167250012e-06,7.56681265500153e-07
2451665.5,0.000234368500978396,0.000269266689364889,4.82510127993996e-05,3.08854895719919e-06,5.2546980731003e-06,7.61284663700111e-07
2451666.5,0.000237458155845097,0.000274552924895977,4.90145749143245e-05,3.09066883879931e-06,5.31782227509991e-06,7.65829870199913e-07
2451667.5,0.000240549652067795,0.000279902433367951,4.97826529750889e-05,3.09223025260139e-06,5.38124390679975e-06,7.70316494000042e-07
2451668.5,0.000243642426813309,0.000285315511928896,5.05551882211963e-05,3.09322434779991e-06,5.44496230129969e-06,7.74744185900013e-07
2451669.5,0.000246735908033903,0.000290792456814071,5.13321215599161e-05,3.09364154480081e-06,5.50897632979998e-06,7.791126287e-07
2451670.5,0.0002498295137425,0.000296333562828988,5.21133935890983e-05,3.09347155130063e-06,5.5732842095999e-06,7.83421518199979e-07
2451671.5,0.00025292265133,0.000301939122594019,5.2898944602392e-05,3.09270343080113e-06,5.63788329720032e-06,7.87670541699996e-07
2451672.5,0.000256014716979697,0.000307609425546085,5.36887145607956e-05,3.09132573360002e-06,5.70276988129999e-06,7.9185934760001e-07
2451673.5,0.0002591050952498,0.000313344756815992,5.44826430441125e-05,3.08932669789916e-06,5.76793899920028e-06,7.95987512300063e-07
2451674.5,0.0002621931588902,0.000319145395875076,5.52806691560825e-05,3.08669451819926e-06,5.83338429889979e-06,8.00054504499891e-07
2451675.5,0.000265278268955799,0.000325011615138981,5.60827313988155e-05,3.0834176681007e-06,5.89909797620003e-06,8.04059649900119e-07
2451676.5,0.000268359775261299,0.000330943678465978,5.68887675175822e-05,3.07948525329893e-06,5.96507080700016e-06,8.08002101399929e-07
